Timestamp,ID,Rank,Title,Artist,Genre,Album,Number of Plays
11/8/2025 0:10:20,Julian,7,Crash,Neovaii,EDM,Onward,400
11/3/2025 18:52:10,William,8,Lovefool,The Cardigans,Alternative,First Band on the Moon,15
11/5/2025 15:13:16,Eleanor,2,Viva la Vida,Coldplay,Alternative,Viva la Vida or Death and All His Friends,11
11/6/2025 15:01:10,Ethan,2,Jigsaw Falling Into Place,Radiohead,Alternative,In Rainbows,57
11/6/2025 15:04:48,Ethan,6,"Athens, France","Black Country, New Road",Alternative,For The First Time,15
11/6/2025 15:05:17,Ethan,7,Country Sad Ballad Man,Blur,Alternative,Blur,14
11/6/2025 15:07:52,Ethan,9,Trinidad,Geese,Alternative,Getting Killed,11
11/6/2025 15:08:42,Ethan,10,Thunder,Maruja,Alternative,Knocknarea,11
11/7/2025 13:03:33,John,2,circus psycho,diggy graves,Alternative,Single,50
11/7/2025 13:34:09,Chloe,5,Step On Up,The Living Tombstone &n McGwire,Alternative,Single,56
11/5/2025 15:15:48,Eleanor,4,Clocks,Coldplay,Alternative,A Rush of Blood to the Head,10
11/6/2025 12:43:01,Eliana,10,I'd love to change the world,Ten Years After,Blues,A Space in Time,50
11/3/2025 20:43:20,Sofia,1,Broken Bones,Kaleo,Blues,A/B,300
11/7/2025 22:36:02,Aria,6,Cogwork Dancers,Christopher Larkin,Classical,Hollow Knight: Silksong (Original Soundtrack),36
11/6/2025 12:40:04,Eliana,8,Shades of Gray,Robert Earl Keen,Country,Picnic,40
11/3/2025 15:06:58,Amelia,1,Fishing In The Dark,Nitty Gritty Dirt band,Country,Hold On,1000
11/3/2025 15:10:09,Amelia,3,Old Man,Neil Young,Country,Harvest,900
11/3/2025 15:11:22,Amelia,4,Old hippie,The Bellamy Brothers,Country,Howard & David,800
11/3/2025 15:12:49,Amelia,5,Southern Cross,"Crosby, Stills, and Nash",Country,Daylight Again,800
11/3/2025 15:14:47,Amelia,6,Can't You See,The Marshall Tucker band,Country,The Marshall Tucker Band,700
11/3/2025 15:16:33,Amelia,7,Rocky Mountain High,John Denver,Country,Rocky Mountain High,700
11/3/2025 16:02:09,Lucas,7,Ghost Riders in the Sky,Johnny Cash,Country,Silver,50
11/3/2025 16:02:47,Lucas,4,Hurt,Johnny Cash,Country,American IV: The Man Comes Around,40
11/3/2025 18:57:20,William,3,The Bottom,Chris Stapleton,Country,Higher,30
11/3/2025 20:49:16,Sofia,10,Love Somebody,Morgan Wallen,Country,I'm The Problem,50
11/5/2025 10:58:31,Harper,3,Cruise,Florida Georgia Line,Country,Here’s to the Good Times,80
11/5/2025 17:58:24,Daniel,2,Where'd That Girl Go,Morgan Wallen,Country,I'm The Problem,200
11/5/2025 17:59:03,Daniel,1,Indigo,Sam Barber,Country,It is a single,200
11/7/2025 13:07:49,John,5,this,darius rucker,Country,"Charleston, SC 1966",20
11/7/2025 19:49:55,Luca,7,Stars of the Midnight Range,Johnny Bond,Country,Heart Soul,40
11/7/2025 23:18:04,Dylan,4,The Gambler,Kenny Rogers,Country,Single,200
11/7/2025 13:48:45,Ellie,8,Tennessee Whiskey,Chris Stapleton,Country,Traveller,75
11/7/2025 13:45:16,Ellie,1,Straight and Narrow,Sam Barber,Country,Straight and Narrow (Single),38
11/7/2025 19:51:51,Luca,9,I WANT YOU,Carter Vail,Country,The Interstellar Tennis Championship Vol. II,40
11/7/2025 19:51:27,Luca,8,NAPOLEON,Carter Vail,Country,The Interstellar Tennis Championship Vol. II,40
11/5/2025 21:01:59,Aurora,2,Motel 9 A,Novi Novog,Country,Swing with Western,499
11/8/2025 0:08:07,Julian,8,I Remember,Tristam - Monstercat,EDM,Monstercat 007 - Solace,220
11/8/2025 0:29:02,Julian,3,Die For You,Grabbitz,EDM,"VALORANT Sounds, Vol. 1",850
11/8/2025 0:30:55,Julian,1,Fights,AGST,EDM,Fights,1000
11/8/2025 0:32:20,Julian,2,Escaping Gravity,"Cecilia Gault, TheFatRat",EDM,Unity,950
11/6/2025 11:50:15,Michael,7,Suffocation,Crystal Castles,Electronic,Crystal Castles (II),35
11/7/2025 23:47:51,Sophia,7,Hammer Of Justice,Toby Fox,Electronic,Single,1
11/7/2025 8:36:29,Elizabeth,9,Aftermath,Caravan Palace,Electronic,Robot face,30
11/3/2025 15:21:30,Mateo,6,laced up,tsubi club,Electronic,laced up,120
11/3/2025 15:06:48,Oliver,1,DUMBASS!!,Machine Girl,Electronic,...BECAUSE I'M YOUNG ARROGANT AND HATE EVERYTHING YOU STAND FOR,50
11/3/2025 15:07:36,Oliver,2,Psychic Attack,Machine Girl,Electronic,MG Ultra,50
11/3/2025 15:08:45,Oliver,4,GIRL HELL 1999,femtanyl,Electronic,CHASER,70
11/3/2025 15:09:15,Oliver,5,IT'S TIME,femtanyl,Electronic,REACTOR,50
11/3/2025 15:09:47,Oliver,6,Dread Architect,Machine Girl,Electronic,Psychowarrior: MG Ultra X,10
11/6/2025 14:07:26,James,8,Like A G6,Far East Movement,Electronic,Free Wired,30
11/10/2025 15:38:30,David,10,Cosmo Funk,Snail's House,Electronic,エイリアン☆ポップ,5
11/3/2025 15:07:14,Charlotte,1,Gasping for Air,Grabbitz,Electronic,Big Epic Nothing,83
11/3/2025 15:08:39,Charlotte,3,Pigs in the Sky,Grabbitz,Electronic,Time Isn't Real,66
11/3/2025 15:09:29,Charlotte,4,Pain Killer,Grabbitz,Electronic,Time Isn't Real,60
11/3/2025 15:12:19,Charlotte,6,Information Overload,Grabbitz,Electronic,Single,35
11/3/2025 15:14:35,Charlotte,7,Comedown,Grabbitz,Electronic,Time Isn't Real,54
11/6/2025 9:49:07,Elizabeth,2,Beautiful Light,Uppermost,Electronic,Origins,30
11/10/2025 15:02:40,David,2,Evening2009,Windows 96,Electronic,Awkward Dance Music,5
11/10/2025 15:03:27,David,1,Late Night Television,Windows 96,Electronic,Awkward Dance Music,5
11/10/2025 15:04:53,David,3,You're perfect,Windows 96,Electronic,How To See Through Walls,5
11/10/2025 15:06:06,David,4,Lynx,Hotel Pools,Electronic,Lynx,6
11/10/2025 15:07:13,David,5,Apartments,Windows 96,Electronic,Yes Da Da Da,5
11/10/2025 15:10:13,David,6,Crystalline,Windows 96,Electronic,Empty Hiding World,5
11/10/2025 15:16:46,David,7,Warmpop,ESPRIT 空想,Electronic,200% Electronica,6
11/10/2025 15:18:12,David,8,Resonance,Home,Electronic,Odyssey,9
11/7/2025 8:21:12,Elizabeth,3,Ordinary life,Living Tombstone,Electronic,Single,50
11/7/2025 8:33:46,Elizabeth,7,Hopes and Dreams,Toby Fox,Electronic,Undertale,30
11/3/2025 15:08:09,Charlotte,2,Hero,Grabbitz,Electronic,Let Them Only See Butterflies,58
11/3/2025 15:11:04,Charlotte,5,Fly on the Wall,Grabbitz,Electronic,Single,24
11/3/2025 15:15:08,Charlotte,8,The Ugly,Grabbitz,Electronic,Time Isn't Real,51
11/3/2025 15:08:48,Emma,4,Cooler Than Me,Mike Posner,Electronic,Single,150
11/7/2025 19:02:21,Nora,1,Dyad (feat. unit.0),Jamie Paige,Electronic,Constant Companions (Deluxe Edition),50
11/7/2025 19:03:52,Nora,2,BUTCHER VANITY,FLAVOR FOLEY,Electronic,CARDIAC CONTREPOINT,30
11/7/2025 19:12:55,Nora,7,weathergirl,FLAVOR FOLEY,Electronic,Single,69
11/7/2025 19:13:55,Nora,8,Superfusion,Maiku Tachibana,Electronic,Single,30
11/3/2025 15:11:31,Noah,9,Late Nights,Brawparty,Electronic,Midnight Tapes,100
11/7/2025 23:18:34,Dylan,5,Wonderland,Caravan Palace,Electronic,Single,400
11/8/2025 0:20:17,Julian,5,Till It's Over,Tristam,Electronic,Monstercat 016 - Expedition,800
11/7/2025 22:27:08,Aria,8,Battle! Penny,Game Freak,Electronic,Pokémon Scarlet ・ Violet + The Hidden Treasure of Area Zero Super Music Collection,40
11/3/2025 15:10:22,Oliver,7,XENON,KIDNAMEDFINGER,Electronic,KIDNAMEDFINGER,10
11/7/2025 22:48:31,Aria,4,Hammer of Justice,Toby Fox,Eletronic,DELTARUNE Chapters 3+4 OST,49
11/3/2025 15:09:27,Mia,3,Thank You For The Venom,My Chemical Romance,Emo,Three Cheers For Sweet Revenge,200
11/3/2025 15:11:38,Mateo,1,The Title Track,Origami Angel,Emo,Somewhere City,269
11/3/2025 15:13:28,Mateo,3,Where Blue Light Blooms,Origami Angel,Emo,Feeling Not Found,171
11/3/2025 15:22:21,Mateo,7,gg,Origami Angel,Emo,GAMI GANG,111
11/3/2025 15:23:15,Mateo,8,Escape Rope,Origami Angel,Emo,Somewhere City,108
11/3/2025 15:23:43,Mateo,9,Noah Fence,Origami Angel,Emo,GAMI GANG,105
11/3/2025 15:24:20,Mateo,10,Doctor Whomst,Origami Angel,Emo,Somewhere City,102
11/6/2025 15:11:54,Mia,4,Cancer,My Chemical Romance,Emo,Welcome to The Black Parade,200
11/3/2025 15:08:11,Oliver,3,Animals,STOMACH BOOK,Emo,STOMACH BOOK,30
11/3/2025 15:11:08,Oliver,8,BAMBI,STOMACH BOOK,Emo,GOODNIGHT HYPNOPOMP,10
11/3/2025 15:11:35,Oliver,9,Paper Dolls,STOMACH BOOK,Emo,GOODNIGHT HYPNOPOMP,10
11/3/2025 15:12:57,Mateo,2,Lorraine (2023 Remaster),Big Thief,Folk,Masterpiece (2023 Remaster),237
11/3/2025 15:19:24,Elijah,6,Sundown,Gordon Lightfoot,Folk,Sundown,112
11/4/2025 13:02:08,Camila,3,GET OUT OF MY YARD,Lil Darkie,Folk,USD,700
11/5/2025 15:02:32,Ezra,2,A quick one before the eternal A quick one before the eternal worm devours appalachiaworm devours appalachia,Lizard in the Spring,Folk,Single,114
11/5/2025 18:05:00,Violet,8,First I'm Sorry,Haley Heynderickx,Folk,Fish Eyes EP,25
11/3/2025 15:08:42,Mia,2,Blister In The Sun,Violent Femmes,Folk,Violent Femmes,200
11/3/2025 15:29:05,Elijah,6,Father and Son,Yusuf/Cat Stevens,Folk,Tea for the Tillerman,167
11/3/2025 21:20:35,Benjamin,6,Piano Man,Billy Joel,Folk,Piano Man,125
11/4/2025 14:24:25,Levi,8,Ends Of The Earth,Lord Huron,Folk,Lonesome Dreams,400
11/3/2025 18:56:18,William,1,Blowing Smoke,Gracie Abrams,Folk,The Secret of Us,60
11/3/2025 20:47:33,Sofia,7,WILDFLOWER,Billie Eilish,Folk,Hit Me Hard and Soft,50
11/6/2025 15:15:30,Mia,9,First Day of My Life,Bright Eyes,Folk,"I'm wide awake, it's morning",300
11/7/2025 23:19:54,Aria,1,"""Bury my Mother Pale and Slight""","Sam ""Amalgemotion""",Folk,Single,999
11/7/2025 23:16:34,Dylan,2,Black Velvet Band,The dubliners,Folk,Single,75
